CÓDIGO EUROPEO,LEI,NOMBRE,DIRECCIÓN,OPERADOR,PROVEEDOR,ENTIDAD PEQUEÑA,ÁMBITO GEOGRÁFICO,DEROGACIÓN,TIPO DE LICENCIA,CÓDIGO DE SUPERVISOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
ESB44869089,213800S5E93Q2ZQVFJ28,"A PLACE IN THE SUN CURRENCY EUROPE S.L.","ZZ ACCES PD PIEGALLINA, 61P, POLIGONO 2 PARCELA 61, 23120, ALHAURIN EL GRANDE",No,Sí,No,,Sí,Explícito,"6932"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
ES0241,959800QKRKCC19MR2G52,"A&G BANCO, S.A.","Paseo de la Castellana, 92, 28046, Madrid",No,Sí,No,,No,Implícito,"0241"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES2080,54930056IRBXK0Q1FP96,"Abanca Corporacion Bancaria, S.A.","CI Cantón Claudino Pita, 2, 15300, Betanzos",No,Sí,No,,No,Implícito,"2080"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES8620,549300ORPMRMXB2JO334,"Abanca Servicios Financieros E.F.C., S.A.","CL RÚA NUEVA, 30, 15004, A CORUÑA",No,Sí,No,,No,Implícito,"8620"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
ES1535,,"AKF Bank GmbH & Co Kg, Sucursal en España","AV DE EUROPA, 12, 28108, ALCOBENDAS",No,Sí,Sí,,No,Implícito,"1535"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0011,95980020140005844330,"Allfunds Bank, S.A.","Cl Padres Dominicos, 7, 28050, Madrid",No,Sí,No,,No,Implícito,"0011"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES6730,,"ALPHA FX EUROPE LIMITED SUCURSAL EN ESPAÑA","PS CASTELLANA, 53, 28046, MADRID",No,Sí,No,,No,Explícito,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESA82628041,549300MZDW5XNH3F6F85,"AMERICAN EXPRESS EUROPE, S.A.","AV DEL PARTENON, 12-14 CAMPO DE LAS NACIONE, 28042, MADRID",No,Sí,No,,No,Explícito,"6837"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESB88021431,549300V7ZKM8RXN2IB09,"AMERICAN EXPRESS PAYMENTS EUROPE, S.L.","AV PARTENON, 12-14, 28042, MADRID",No,Sí,No,,No,Explícito,"6883"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ES0200,95980020140005218292,"ANDBANK ESPAÑA BANCA PRIVADA, S.A.","PS DE LA CASTELLANA, 55, 28046, MADRID",No,Sí,No,,No,Implícito,"0200"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
ES0136,95980020140005658381,"Aresbank, S.A.","Ps de la Castellana, 257, 28046, Madrid",No,Sí,No,,No,Implícito,"0136"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
ES3183,959800AQXRU3780MW094,"Arquia Bank, S.A.","CL TUTOR, 16, 28008, MADRID",No,Sí,No,,No,Implícito,"3183"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
ESW0026907F,,"ASSOCIATED FOREIGN EXCHANGE IRELAND LIMITED, SUCURSAL EN ESPAÑA","CL GÉNOVA, 27, PLANTA 6, 28004, MADRID",No,Sí,No,,No,Explícito,"6903"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
ES1541,9598002BMCMBU7G30F66,"Attijariwafa Bank Europe, Sucursal en España","Cl Bravo Murillo, 210, 28020, Madrid",No,Sí,No,,No,Implícito,"1541"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
ESB10942324,959800UYQH605YBDEN02,"AURA PAYMENT IBERIA SL","CL FRANCISCO SILVELA, 42, 28028, MADRID",No,Sí,No,,Sí,Explícito,"6927"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
ESB74372046,9598001FY389KQ601H81,"B & B CC FINANCIAL, S.L.","CL FONCALADA, 6 PLANTA 1, 33002, OVIEDO",No,Sí,No,,No,Explícito,"6884"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
